;Марка;Цена без НДС, руб./км
11.01.2022;CONFLEX МКШВ 6х3х2,5;2055712,05
11.01.2022;CONFLEX МКШВ 5х3х2,5;1722296,27
11.01.2022;CONFLEX МКШВ 10х1,0;501230,18
11.01.2022;CONFLEX МКШВ 2х2х2,5;485369,42
11.01.2022;CONFLEX МКШВ 18х3х2,5;6152613,85
11.01.2022;CONFLEX МКШВ 6х2,5;682063,88
11.01.2022;CONFLEX МКШВ 8х3х2,5;2751398,85
11.01.2022;CONFLEX МКШВ 24х2х0,75;1840644,96
11.01.2022;CONFLEX МКШВ 4х3х1,0;610556,01
11.01.2022;CONFLEX МКШВ 3х2х1,0;324964,17
11.01.2022;CONFLEX МКШВ 30х2х2,5;6835218,51
11.01.2022;CONFLEX МКШВ 8х1,5;567265,51
11.01.2022;CONFLEX МКШВ 37х2х2,5;8420414,63
11.01.2022;CONFLEX МКШВ 3х2х0,75;254757,47
11.01.2022;CONFLEX МКШВ 12х1,0;592292,98
11.01.2022;CONFLEX МКШВ 12х3х2,5;4092585,99
11.01.2022;CONFLEX МКШВ 8х2х0,5;433276,66
11.01.2022;CONFLEX МКШВ 18х3х0,5;1373686,54
11.01.2022;CONFLEX МКШВ 37х2х0,5;1883828,94
11.01.2022;CONFLEX МКШВ 2х3х2,5;707081,97
11.01.2022;CONFLEX МКШВ 5х2х1,0;519707,44
11.01.2022;CONFLEX МКШВ 10х3х0,75;1149544,49
11.01.2022;CONFLEX МКШВ 2х3х1,0;320792,99
11.01.2022;CONFLEX МКШВ 5х2х0,75;404959,22
11.01.2022;CONFLEX МКШВ 7х2х0,75;553174,51
11.01.2022;CONFLEX МКШВ 30х2х1,5;4241555,95
11.01.2022;CONFLEX МКШВ 4х0,75;168629,33
11.01.2022;CONFLEX МКШВ 12х2х1,5;1724631,77
11.01.2022;CONFLEX МКШВ 4х2х1,0;422332,17
11.01.2022;CONFLEX МКШВ 7х2х1,5;1014404,98
11.01.2022;CONFLEX МКШВ 12х3х1,5;2542343,85
11.01.2022;CONFLEX МКШВ 3х3х0,5;251728,09
11.01.2022;CONFLEX МКШВ 2х3х0,5;175862,61
11.01.2022;CONFLEX МКШВ 5х3х1,5;1077296,92
11.01.2022;CONFLEX МКШВ 4х2х0,5;230115,99
11.01.2022;CONFLEX МКШВ 24х1,5;1657775,72
11.01.2022;CONFLEX МКШВ 12х3х1,0;1783887,18
11.01.2022;CONFLEX МКШВ 37х1,5;2529095,63
11.01.2022;CONFLEX МКШВ 7х2х1,0;720421,16
11.01.2022;CONFLEX МКШВ 6х1,0;309120,16
11.01.2022;CONFLEX МКШВ 7х1,5;495252,24
11.01.2022;CONFLEX МКШВ 27х2х1,0;2669112,86
11.01.2022;CONFLEX МКШВ 4х0,5;114215,33
11.01.2022;CONFLEX МКШВ 6х3х1,5;1283080,22
11.01.2022;CONFLEX МКШВ 5х3х0,5;400854,64
11.01.2022;CONFLEX МКШВ 3х2х0,5;179495,44
11.01.2022;CONFLEX МКШВ 16х3х2,5;5480533,95
11.01.2022;CONFLEX МКШВ 24х2х0,5;1247450,03
11.01.2022;CONFLEX МКШВ 9х1,0;453203,28
11.01.2022;CONFLEX МКШВ 2х2х0,75;178580,7
11.01.2022;CONFLEX МКШВ 27х0,5;676756,67
11.01.2022;CONFLEX МКШВ 27х0,75;1007260,5
11.01.2022;CONFLEX МКШВ 24х2х1,0;2382367,74
11.01.2022;CONFLEX МКШВ 30х2,5;3320369,31
11.01.2022;CONFLEX МКШВ 4х2,5;463917,24
11.01.2022;CONFLEX МКШВ 37х0,5;919546,9
11.01.2022;CONFLEX МКШВ 16х3х0,5;1227038,58
11.01.2022;CONFLEX МКШВ 6х2х0,75;479290,77
11.01.2022;CONFLEX МКШВ 9х1,5;637591,92
11.01.2022;CONFLEX МКШВ 18х2х1,0;1805597,06
11.01.2022;CONFLEX МКШВ 24х3х1,5;5058785,08
11.01.2022;CONFLEX МКШВ 24х2х2,5;5492450,34
11.01.2022;CONFLEX МКШВ 7х2х0,5;380519,76
11.01.2022;CONFLEX МКШВ 27х1,5;1855457,2
11.01.2022;CONFLEX МКШВ 19х0,5;484931,17
11.01.2022;CONFLEX МКШВ 8х3х1,0;1199462,92
11.01.2022;CONFLEX МКШВ 10х3х1,0;1486773,76
11.01.2022;CONFLEX МКШВ 24х2,5;2674827,81
11.01.2022;CONFLEX МКШВ 6х2х2,5;1393643,5
11.01.2022;CONFLEX МКШВ 14х2х1,0;1420566,66
11.01.2022;CONFLEX МКШВ 10х2х1,5;1437836,73
11.01.2022;CONFLEX МКШВ 10х2,5;1132774,74
11.01.2022;CONFLEX МКШВ 12х1,5;837011,48
11.01.2022;CONFLEX МКШВ 10х1,5;705548,03
11.01.2022;CONFLEX МКШВ 12х2х0,5;631174,95
11.01.2022;CONFLEX МКШВ 18х2х0,5;940758,55
11.01.2022;CONFLEX МКШВ 16х2х2,5;3678517,8
11.01.2022;CONFLEX МКШВ 17х0,75;643087,6
11.01.2022;CONFLEX МКШВ 12х2х2,5;2761130,68
11.01.2022;CONFLEX МКШВ 14х2х1,5;2014733,92
11.01.2022;CONFLEX МКШВ 18х2х2,5;4142808,28
11.01.2022;CONFLEX МКШВ 24х3х0,5;1824771,61
11.01.2022;CONFLEX МКШВ 6х3х1,0;905782,08
11.01.2022;CONFLEX МКШВ 5х2,5;573284,22
11.01.2022;CONFLEX МКШВ 17х0,5;439136,01
